ChapterID,ChapterContent,ChapterContentOriginal,ArticleID,ArticleContent,ArticleContentOriginal,ParagraphID,ParagraphContent,ParagraphContentOriginal,ItemID,ItemContent,ItemContentOriginal
1,General Provisions,총칙,1.1,(Purpose) This Act aims to protect the rights and interests of the people and contribute to improving the quality of life and strengthening national competitiveness by stipulating the basic matters necessary for the sound development of artificial intelligence and the establishment of a foundation for trust.,(목적) 이 법은 인공지능의 건전한 발전과 신뢰 기반 조성에 필요한 기본적인 사항을 규정함으로써 국민의 권익과 존엄성을 보호하고 국민의 삶의 질 향상과 국가경쟁력을 강화하는 데 이바지함을 목적으로 한다.,1.1.0,,,1.1.0.0,,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.1,"“Artificial intelligence” refers to the electronic implementation of human intellectual abilities such as learning, reasoning, perception, judgment, and language comprehension.","“인공지능”이란 학습, 추론, 지각, 판단, 언어의 이해 등 인간이 가진 지적 능력을 전자적 방법으로 구현한 것을 말한다.",1.2.1.0,,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.2,"“Artificial intelligence system” refers to an artificial intelligence-based system that infers results such as predictions, recommendations, and decisions that affect real and virtual environments for a given goal with various levels of autonomy and adaptability.","“인공지능시스템”이란 다양한 수준의 자율성과 적응성을 가지고 주어진 목표를 위하여 실제 및 가상환경에 영향을 미치는 예측, 추천, 결정 등의 결과물을 추론하는 인공지능 기반 시스템을 말한다.",1.2.2.0,,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.3,"“Artificial intelligence technology” refers to hardware, software technology, or its utilization technology required to implement artificial intelligence.",,1.2.3.0,,
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.1,"Supply of energy pursuant to Article 2, Paragraph 1 of the Energy Act",「에너지법」 제2조제1호에 따른 에너지의 공급
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.2,"Production process of drinking water according to Article 3, Paragraph 1 of the Drinking Water Management Act",「먹는물관리법」 제3조제1호에 따른 먹는물의 생산 공정
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.3,"Establishment and operation of a system for providing and utilizing health care services pursuant to Article 3, Paragraph 1 of the Framework Act on Health and Medical Services",「보건의료기본법」 제3조제1호에 따른 보건의료의 제공 및 이용체계의 구축ㆍ운영
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.4,"Development and use of medical devices pursuant to Article 2, Paragraph 1 of the Medical Devices Act and digital medical devices pursuant to Article 2, Paragraph 2 of the Digital Medical Products Act.",「의료기기법」 제2조제1항에 따른 의료기기 및 「디지털의료제품법」 제2조제2호에 따른 디지털의료기기의 개발 및 이용
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.5,"Safe management and operation of nuclear materials as defined in Article 2, Paragraph 1, Item 1 of the Act on the Protection of Nuclear Facilities, etc. and Radiation Disaster Prevention and Control, and nuclear facilities as defined in Item 2 of the same Article.",
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.6,"Analysis and utilization of biometric information (personal information pertaining to physical, physiological, and behavioral characteristics that can identify an individual, such as face, fingerprints, irises, and palm veins) for criminal investigations or arrests.",
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.7,"Judgment or evaluation that has a significant impact on an individual's rights and obligations, such as hiring or loan screening.",
1,General Provisions,총칙,1.2,(Definitions) The terms used in this Act have the following meanings,(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,1.2.4,"“High-impact artificial intelligence” refers to an artificial intelligence system that may have a significant impact on or pose a risk to human life, physical safety, and fundamental rights, and is utilized in any of the following areas:",,1.2.4.8,"Major operations and management of transportation means, transportation facilities, and transportation systems pursuant to Article 2, Paragraphs 1 through 3 of the Traffic Safety Act.",
