SectionID,SectionName,SubSectionID,ItemID,ContentID,ContentEnglish,ContentChinese
1,Purpose,1.0,1.0.0,1.0.0.1,"From the founding of our Republic, scientific discovery and technological innovation have driven American progress and prosperity.",自共和国成立以来，科学发现和技术创新推动了美国的进步与繁荣。
1,Purpose,1.0,1.0.0,1.0.0.2,"Today, America is in a race for global technology dominance in the development of artificial intelligence (AI), an important frontier of scientific discovery and economic growth.",今天，美国正在人工智能（AI）开发领域的全球技术主导权竞赛中，这是一项科学发现和经济增长的重要前沿。
1,Purpose,1.0,1.0.0,1.0.0.3,"To that end, my Administration has taken a number of actions to win that race, including issuing multiple Executive Orders and implementing America's AI Action Plan, which recognizes the need to invest in AI-enabled science to accelerate scientific advancement.",为此，我的政府采取了多项行动以赢得这场竞赛，包括发布多项行政命令并实施《美国人工智能行动计划》，该计划认识到需要投资于人工智能驱动的科学，以加速科学进步。
1,Purpose,1.0,1.0.0,1.0.0.4,"In this pivotal moment, the challenges we face require a historic national effort, comparable in urgency and ambition to the Manhattan Project that was instrumental to our victory in World War II and was a critical basis for the foundation of the Department of Energy (DOE) and its national laboratories.",在这一关键时刻，我们面临的挑战需要一项历史性的全国努力，其紧迫性和雄心可与曼哈顿计划相媲美，该计划在二战胜利中发挥了关键作用，并成为能源部（DOE）及其国家实验室的基础。
1,Purpose,1.0,1.0.0,1.0.0.5,"This order launches the ""Genesis Mission"" as a dedicated, coordinated national effort to unleash a new age of AI-accelerated innovation and discovery that can solve the most challenging problems of this century.",本命令启动“创世使命”，作为一项专门的、协调一致的全国性努力，释放人工智能加速创新和发现的新纪元，以解决本世纪最具挑战性的问题。
1,Purpose,1.0,1.0.0,1.0.0.6,"The Genesis Mission will build an integrated AI platform to harness Federal scientific datasets - the world's largest collection of such datasets, developed over decades of Federal investments - to train scientific foundation models and create AI agents to test new hypotheses, automate research workflows, and accelerate scientific breakthroughs.",创世使命将构建一个集成的人工智能平台，利用联邦科学数据集——全球最大的此类数据集，由数十年的联邦投资开发——来训练科学基础模型，并创建人工智能代理以测试新假设、自动化研究工作流程，加速科学突破。
1,Purpose,1.0,1.0.0,1.0.0.7,"The Genesis Mission will bring together our Nation's research and development resources - combing the efforts of brilliant American scientists, including those at our national laboratories, with pioneering American businesses; world-renowned universities; and existing research infrastructure, data repositories, production plants, and national security sites - to achieve dramatic acceleration in AI development and utilization.",创世使命将汇集我国的研发资源——结合美国杰出科学家的努力（包括国家实验室的科学家）、开创性的美国企业、世界知名大学，以及现有的研究基础设施、数据存储库、生产工厂和国家安全场所——以实现人工智能开发和应用的显著加速。
1,Purpose,1.0,1.0.0,1.0.0.8,"We will harness for the benefit of our Nation the revolution underway in computing, and build on decades of innovation in semiconductors and high-performance computing.",我们将利用计算领域正在进行的革命，为国家谋福利，并在半导体和高性能计算的数十年创新基础上继续前行。
1,Purpose,1.0,1.0.0,1.0.0.9,"The Genesis Mission will dramatically accelerate scientific discovery, strengthen national security, secure energy dominance, enhance workforce productivity, and multiply the return on taxpayer investment into research and development, thereby furthering America's technological dominance and global strategic leadership.",创世使命将显著加速科学发现，加强国家安全，确保能源主导地位，提高劳动力生产率，并倍增纳税人对研发投资的回报，从而进一步推动美国的技术主导地位和全球战略领导力。
2,Estblishment of the Genesis Mission,2.a,2.a.0,2.a.0.1,"There is hereby established the Genesis Mission (Mission), a national effort to accelerate the application of AI for transformative scientific discovery focused on pressing national challenges.",特此设立创世使命（使命），作为一项全国性努力，加速人工智能在变革性科学发现中的应用，重点解决紧迫的国家挑战。
2,Estblishment of the Genesis Mission,2.b,2.b.0,2.b.0.1,"The Secretary of Energy (Secretary) shall be responsible for implementing the Mission within DOE, consistent with the provisions of this order, including, as appropriate and authorized by law, setting priorities and ensuring that all DOE resources used for elements of the Mission are integrated into a secure, unified platform.",能源部长（部长）应负责在能源部内实施该使命，符合本命令的规定，包括在法律授权范围内设定优先事项，并确保用于使命各要素的能源部资源整合到一个安全、统一的平台中。
2,Estblishment of the Genesis Mission,2.b,2.b.0,2.b.0.2,The Secretary may designate a senior political appointee to oversee day-to-day operations of the Mission.,部长可指定一名高级政治任命人员监督使命的日常运作。
2,Estblishment of the Genesis Mission,2.c,2.c.0,2.c.0.1,"The Assistant to the President for Science and Technology (APST) shall provide general leadership of the Mission, including coordination of particiapting executive departments and agencies (agencies) through the National Science and Technology Council (NSTC) and the issurance of guidance to ensure that the Mission is aligned with national objectives.",总统科学与技术助理（APST）应提供使命的总体领导，包括通过国家科学技术委员会（NSTC）协调参与的行政部门和机构，并发布指导意见，确保使命与国家目标保持一致。
3,Operation of the American Science and Security Platform,3.a,3.a.0,3.a.0.1,"The Secretary shall establish and operate the American Science and Security Platform (Platform) to serve as the infrastructure for the Mission with the purpose of providing, in an integrated manner and to the maximum extent practicable and consistent with law:",部长应建立并运营“美国科学与安全平台”（平台），作为使命的基础设施，旨在以集成方式并在法律允许的最大范围内提供：
3,Operation of the American Science and Security Platform,3.a,3.a.i,3.a.i.1,"high-performance computing resources, including DOE national laboratory supercomputers and secure cloud-based AI computing environments, capable of supporting large-scale model training, simulation, and inference;",高性能计算资源，包括能源部国家实验室超级计算机和安全的云端人工智能计算环境，能够支持大规模模型训练、模拟和推理；
3,Operation of the American Science and Security Platform,3.a,3.a.ii,3.a.ii.1,"AI modeling and analysis frameworks, including AI agents to explore design spaces, evaluate experimental outcomes, and automate workflows;",人工智能建模和分析框架，包括用于探索设计空间、评估实验结果和自动化工作流程的人工智能代理；
3,Operation of the American Science and Security Platform,3.a,3.a.iii,3.a.iii.1,"computational tools, including AI-enabled predictive models, simulation models, and design optimization tools;",计算工具，包括人工智能驱动的预测模型、模拟模型和设计优化工具；
3,Operation of the American Science and Security Platform,3.a,3.a.iv,3.a.iv.1,domain-specific foundation models across the range of scientific domains covered;,涵盖科学领域的领域特定基础模型；
